reason,count
bot lacks capability to troubleshoot pixel issues beyond basic guidance,1
user did not provide necessary platform details,1
bot could not proceed without specific information,1
bot-cannot-remove-user-from-account,1
bot lacks capability to delete payment methods,1
user did not specify any request after form submission,1
lookalike audience feature not supported,1
user account verification issues,1
lack of direct upload feature for media plan,1
bot cannot resolve account lock issues,1
email support not responsive,1
bot-cannot-modify-access-token-settings,1
lack-of-access-token-management-feature,1
user-needs-specific-api-for-ad-metrics,1
Chinese language is not supported by NewsBreak,1
user did not receive specific guidance for experienced users,1
bot provided generic information for first-time ad creation,1
bot cannot directly verify account status,1
verification requires human review,1
requires business verification which needs human intervention,1
user did not receive or locate the email with the rejection reason,1
user did not confirm resolution,1
conversation was interrupted by a human intervention,1
user unable to find download link despite instructions,1
potential permissions issue or display error,1
account verification pending,1
user encountered an error creating a new pixel,1
user received no response from support despite multiple emails,1
bot lacks capability to directly check ad review status,1
bot cannot provide ad approval decisions,1
bot lacks capability to analyze ad content or product issues,1
bot lacks capability to directly process profile corrections,1
user needs to contact support team for resolution,1
requires human intervention for billing discrepancies,1
bot lacks capability to provide real-time targeting values,1
ad duration limit is a fixed platform constraint,1
bot cannot directly modify campaign settings,1
pre-fetching location data feature not supported,1
API pricing and access details not available through bot,1
bot lacks specific instructions for BuyGood network integration,1
conversation ended before user provided further details on implementation method,1
bot cannot resolve 'invalid operation' error,1
requires RedTrack-specific support,1
bot lacks capability to directly resolve ad rejection issues,1
requires human intervention for policy clarification,1
user did not specify what to cancel,1
bot lacks capability to automate bulk zip code entry with city and state,1
user requires more efficient method for large data entry,1
user required human support for unresolved payment issue,1
user-request-for-human-assistance-not-fulfilled,1
user-abandoned-before-completing-task,1
bot lacks capability to directly resolve ad delivery issues,1
requires human intervention for further investigation,1
bot-cannot-escalate-to-human,1
user-dissatisfaction-with-bot-response,1
language change not supported,1
pixel integration issue unresolved,1
budgeting and structure advice provided but may need further clarification,1
"bot did not provide direct wire details, only a link to FAQ",1
user required human assistance for billing issue,1
bot provided general advice but user needed specific resolution,1
bot provided incorrect guidance,1
user needed specific dashboard navigation help,1
video size limit cannot be changed,1
user needs human assistance to reconnect with account rep,1
user-confusion-about-tracking-platform,1
user-did-not-confirm-resolution,1
potential-issue-with-ad-credit-usage,1
bot does not support live chat initiation,1
bulk editing feature not supported,1
ad length exceptions not generally available,1
high CPC requires further optimization not fully addressed by bot,1
bot cannot resolve card authorization failures,1
NewsBreak does not support targeting locations outside the US,1
user requested live agent but was not connected,1
possible need for more detailed guidance,1
user needs to provide verification of daily ad spend to qualify for account management,1
user requested live support which bot cannot provide directly,1
bot lacks capability to directly troubleshoot Shopify integration,1
user requires more personalized support for ad campaign issues,1
user unable to locate interest targeting despite guidance,1
bot lacks capability to transfer ad credits between accounts,1
bot lacks capability to troubleshoot specific domain-related tracking issues,1
user account not eligible to add ad credits directly,1
requires business verification and account manager,1
bot-lacks-language-change-capability,1
incorrect parameter usage in URL for ClickBank integration,1
bot cannot support non-US banking transactions,1
verification process is still pending,1
user needs to follow up with support,1
bot lacks capability to check account status,1
billing threshold cannot be manually set,1
account flagging requires human intervention,1
bot lacks capability to directly resolve billing and campaign spending issues,1
user does not meet the requirements for a dedicated account manager,1
user does not meet the conditions to add ad credit,1
user unable to locate device targeting settings,1
user needs to contact support for custom exclusion,1
user confused about ad spend,1
